code,content,date
大眾控,代子公司Perfect Union Global Inc.公告取得廣上科技(廣州)有限公司,2022-08-25
瑞基,本公司111年盈餘轉增資發行新股暨分派現金股利公告,2022-08-25
大眾控,代子公司Perfect Union Global Inc.公告處分才眾電腦(深圳)有限公司,2022-08-25
宏易,7月營收0.20億元年增150.44% 1—7月達1.10億元,2022-08-25
大眾控,代子公司Perfect Union Global Inc.公告董事會決議進行投資計畫達股本百分之二十以上,2022-08-25
科嘉-KY,代大陸子公司重慶嘉駿電子有限公司公告配合當地政府限電政策暨採行持續營運措施,2022-08-25
鳳凰,111年盈餘轉增資發行新股暨分派現金股利,2022-08-25
華新,澄清媒體報導,2022-08-25
廣運,說明媒體相關報導,2022-08-25
東元,澄清有關111年8月25日媒體報導,2022-08-25
光隆,本公司受邀參加凱基證券舉辦之法人座談會,2022-08-25
大洋-KY,代重慶光谷大洋更新公告因新冠疫情，配合當地政府暫停營運。,2022-08-25
旭然,公告旭然股份有限公司國內第一次有擔保轉換公司債(簡稱：旭然一，代碼：45561)自111年09月17日起，轉換價格自39.12元調整為38.66元。,2022-08-25
旭然,公告旭然股份有限公司國內第二次無擔保轉換公司債(簡稱：旭然二，代碼：45562)自111年09月17日起，轉換價格自37.22元調整為36.79元。,2022-08-25
晟德,公告晟德股份有限公司國內第五次無擔保轉換公司債(簡稱：晟德五，代碼：41235)自111年09月17日起，轉換價格自80.00元調整為67.00元。,2022-08-25
晟德,公告晟德股份有限公司國內第四次有擔保轉換公司債(簡稱：晟德四，代碼：41234)自111年09月17日起，轉換價格自80.9元調整為67.8元。,2022-08-25
和勤,本公司受邀參加華南永昌證券舉辦之線上法說會,2022-08-25
中鼎,公告本公司新增背書保證金額達新臺幣三千萬元以上且逾最近期財務報表淨值百分之五以上者之相關資料。,2022-08-25
味全,更正111年7月資金貸與他人明細表,2022-08-25
味全,7月營收19.08億元年增5.86% 1—7月達113.71億元,2022-08-25
一零四,代取得人依證交法第43條之1第1項取得本公司股份變動達 1%公告,2022-08-25
總太,公告本公司111年現金增資新股上市暨股款繳納憑證終止上市日期,2022-08-25
